lesbian*;;;;;;
limp*;;;;;;
lips*;;;;;;
liquor*;;;;;;
lived;;;;;;
living;;;;;;
loved;;;;;;
lozenge*;;;;;;
lungs;;;;;;
lymph*;;;;;;
mammogram*;;;;;;
martini*;;;;;;
masturb*;;;;;;
maternity;;;;;;
mature;;;;;;
migrain*;;;;;;
milk*;;;;;;
miscar*;;;;;;
mouth*;;;;;;
mucous*;;;;;;
myopi*;;;;;;
nasal;;;;;;
nearsighted;;;;;;
nerve*;;;;;;
neurolog*;;;;;;
nipple*;;;;;;
nose*;;;;;;
nostril*;;;;;;
numbed;;;;;;
numbness;;;;;;
nutrition*;;;;;;
obesity;;;;;;
operat*;;;;;;
optometr*;;;;;;
hamstring*orgi*;;;;;;
orgy;;;;;;
orthodon*;;;;;;
ovar*;;;;;;
overate;;;;;;
overweight;;;;;;
pained;;;;;;
palms;;;;;;
pancake*;;;;;;
paraly*;;;;;;
passion*;;;;;;
paternity;;;;;;
pelvi*;;;;;;
70;;;;;;
perspir*;;;;;;
perver*;;;;;;
pharmac*;;;;;;
physical;;;;;;
physicality;;;;;;
pies;;;;;;
pills;;;;;;
pimple*;;;;;;
pizza*;;;;;;
podiatr*;;;;;;
popcorn;;;;;;
porn*;;;;;;
pregnan*;;;;;;
prognos*;;;;;;
prudish;;;;;;
pulse;;;;;;
pussies;;;;;;
kidney*rape*;;;;;;
rash*;;;;;;
rehab*;;;;;;
ribs;;;;;;
ritalin;;;;;;
salad*;;;;;;
salty;;;;;;
sandwich*;;;;;;
sauces;;;;;;
sausage*;;;;;;
scalp;;;;;;
lump*scrape*;;;;;;
seduc*;;;;;;
sensation;;;;;;
servings;;;;;;
sexier;;;;;;
sexily;;;;;;
sexiness;;;;;;
sexless*;;;;;;
sexpot*;;;;;;
sexual*;;;;;;
shirt*;;;;;;
shoe*;;;;;;
shoulder*;;;;;;
sickday*;;;;;;
sickest;;;;;;
sickleave*;;;;;;
sickness*;;;;;;
skin'*;;;;;;
sleep;;;;;;
sleepier;;;;;;
sleepless*;;;;;;
sleepwalk*;;;;;;
slut*;;;;;;
smok*;;;;;;
soup*;;;;;;
spaghetti;;;;;;
spinal;;;;;;
spits;;;;;;
spitting;;;;;;
starving;;;;;;
stiff;;;;;;
stiffer;;;;;;
stiffly;;;;;;
stomach*;;;;;;
stroke*;;;;;;
sugar;;;;;;
sugars;;;;;;
sunburn*;;;;;;
surgeon*;;;;;;
sushi;;;;;;
swallow*;;;;;;
sweeter;;;;;;
sweetness*;;;;;;
swelling;;;;;;
schizophren*;;;;;;
raping;;;;;;
swollen;;;;;;
symptom*;;;;;;
taco*;;;;;;
tasted;;;;;;
tasting;;;;;;
tea;;;;;;
teeth*;;;;;;
tenderly;;;;;;
tendoni*;;;;;;
tequila*;;;;;;
testosterone*;;;;;;
thermometer*;;;;;;
thirst;;;;;;
thirsting;;;;;;
thirsty;;;;;;
throb*;;;;;;
thumbs;;;;;;
tingl*;;;;;;
tiredest;;;;;;
tit;;;;;;
titties;;;;;;
toe;;;;;;
toenail*;;;;;;
tongue*;;;;;;
tooth*;;;;;;
x;;;;;;
acne;;;;;;
advil;;;;;;
aids;;;;;;
alive;;;;;;
amput*;;;;;;
ankle*;;;;;;
antacid*;;;;;;
anus*;;;;;;
arch;;;;;;
arms*;;;;;;
arse;;;;;;
arter*;;;;;;
asleep;;;;;;
ass;;;;;;
asthma*;;;;;;
bake*;;;;;;
bald;;;;;;
bandaid;;;;;;
bbq;;;;;;
bean*;;;;;;
belly;;;;;;
bi-sexual*;;;;;;
deaf*;;;;;;
delicious*;;;;;;
derma*;;;;;;
diarr*;;;;;;
diet*;;;;;;
dildo*;;;;;;
dine;;;;;;
diner;;;;;;
dines;;;;;;
dinner*;;;;;;
dish;;;;;;
dizz*;;;;;;
dosage*;;;;;;
dosing;;;;;;
drink*;;;;;;
dtf;;;;;;
ear;;;;;;
eat;;;;;;
eating;;;;;;
enema*;;;;;;
erectile;;;;;;
erotic*;;;;;;
binge*;;;;;;
exercis*;;;;;;
express*;;;;;;
bleed*;;;;;;
bodi*;;;;;;
boil*;;;;;;
bone;;;;;;
bones;;;;;;
boob*;;;;;;
booz*;;;;;;
brain*;;;;;;
breast*;;;;;;
burp*;;;;;;
butter*;;;;;;
butts;;;;;;
cake*;;;;;;
callgirl*;;;;;;
candie*;;;;;;
cardia*;;;;;;
cbt;;;;;;
cheek*;;;;;;
chest*;;;;;;
chlamydia;;;;;;
chok*;;;;;;
chow*;;;;;;
cigar*;;;;;;
clit;;;;;;
clothes;;;;;;
codeine;;;;;;
coma*;;;;;;
condoms;;;;;;
constipat*;;;;;;
coronar*;;;;;;
cramp*;;;;;;
crotch;;;;;;
cums;;;;;;
face;;;;;;
facial*;;;;;;
fat;;;;;;
fats;;;;;;
fatten*;;;;;;
fed;;;;;;
feeding*;;;;;;
feet;;;;;;
fever*;;;;;;
fitness*;;;;;;
flu;;;;;;
foot;;;;;;
forehead*;;;;;;
fries;;;;;;
fry*;;;;;;
fucked*;;;;;;
fucks;;;;;;
fwb;;;;;;
gays;;;;;;
gigolo*;;;;;;
glutton*;;;;;;
goosebump*;;;;;;
gyno*;;;;;;
hairs;;;;;;
hallucinat*;;;;;;
hard-on*;;;;;;
heads;;;;;;
healer*;;;;;;
heals;;;;;;
healthier;;;;;;
heart;;;;;;
hearts;;;;;;
hemor*;;;;;;
hiccup*;;;;;;
hiv;;;;;;
homos;;;;;;
hooker*;;;;;;
hornie*;;;;;;
hump*;;;;;;
hungrier;;;;;;
ibuprofen;;;;;;
ill;;;;;;
immun*;;;;;;
infect*;;;;;;
inflam*;;;;;;
inhal*;;;;;;
insulin;;;;;;
intox*;;;;;;
drunk;;;;;;
jism;;;;;;
jizz*;;;;;;
juice*;;;;;;
knuckle*;;;;;;
elbow*;;;;;;
leuke*;;;;;;
lip;;;;;;
live;;;;;;
livel*;;;;;;
love;;;;;;
lover*;;;;;;
lung;;;;;;
lust*;;;;;;
makeout*;;;;;;
manic-dep*;;;;;;
mated;;;;;;
mating;;;;;;
meal*;;;;;;
milf*;;;;;;
mono;;;;;;
mri;;;;;;
muscle*;;;;;;
naked;;;;;;
nause*;;;;;;
neck*;;;;;;
neural*;;;;;;
neuron*;;;;;;
noodle*;;;;;;
nude*;;;;;;
numbing;;;;;;
numbs;;;;;;
obese;;;;;;
ocd;;;;;;
orgasm*;;;;;;
hand;;;;;;
orthoped*;;;;;;
overeat*;;;;;;
pain;;;;;;
painf*;;;;;;
pap;;;;;;
pasta*;;;;;;
patholog*;;;;;;
penis*;;;;;;
Bio;;;;;;
perv;;;;;;
pervy;;;;;;
phobi*;;;;;;
physically;;;;;;
pill;;;;;;
pimply;;;;;;
pms;;;;;;
poison*;;;;;;
pork;;;;;;
potato*;;;;;;
prescri*;;;;;;
promiscu*;;;;;;
pubic;;;;;;
puss;;;;;;
pussy*;;;;;;
kitchen*;;;;;;
restau*;;;;;;
rice;;;;;;
rum;;;;;;
saliv*;;;;;;
sauce;;;;;;
scab*;;;;;;
lunch*;;;;;;
seizure*;;;;;;
sensations;;;;;;
sex;;;;;;
sexiest;;;;;;
sexing;;;;;;
sexploit*;;;;;;
sext*;;;;;;
sexy;;;;;;
shit*;;;;;;
sick;;;;;;
sicker;;;;;;
sickly;;;;;;
sinus*;;;;;;
skull*;;;;;;
sleepiest;;;;;;
sleeps;;;;;;
sleepy;;;;;;
snack*;;;;;;
spat;;;;;;
spine;;;;;;
starve*;;;;;;
std*;;;;;;
stiffest;;;;;;
strept*;;;;;;
stud;;;;;;
sugary;;;;;;
supper*;;;;;;
surger*;;;;;;
sweat*;;;;;;
sweetest;;;;;;
sweets;;;;;;
swinger*;;;;;;
screw*;;;;;;
rapist*;;;;;;
syndrome*;;;;;;
taste;;;;;;
tastes;;;;;;
tasty;;;;;;
tender;;;;;;
tendon;;;;;;
tendons;;;;;;
therap*;;;;;;
thigh*;;;;;;
thirsts;;;;;;
throat*;;;;;;
thyroid*;;;;;;
tired;;;;;;
tiring;;;;;;
tits;;;;;;
titty;;;;;;
toes;;;;;;
tonsils;;;;;;
tox*;;;;;;
tumo*;;;;;;
twitched;;;;;;
twitching;;;;;;
ulcer*;;;;;;
unhealthy;;;;;;
uter*;;;;;;
vagin*;;;;;;
veget*;;;;;;
veggie*;;;;;;
vertigo;;;;;;
vibrator*;;;;;;
virgin*;;;;;;
vitamin*;;;;;;
warts;;;;;;
washed;;;;;;
washing;;;;;;
weak;;;;;;
weakened;;;;;;
weakens;;;;;;
weakling;;;;;;
weakly;;;;;;
wear;;;;;;
weary;;;;;;
weighed;;;;;;
wellbeing;;;;;;
wheat;;;;;;
whore*;;;;;;
wines;;;;;;
withdrawal;;;;;;
work-out*;;;;;;
xray*;;;;;;
yawn*;;;;;;
yummy;;;;;;
zits;;;;;;
abdomen*;;;;;;
ankle*;;;;;;
armpit*;;;;;;
arous*;;;;;;
arses;;;;;;
asleep;;;;;;
asses;;;;;;
asshole*;;;;;;
beard;;;;;;
belly;;;;;;
bleed*;;;;;;
bloody;;;;;;
body*;;;;;;
bollock*;;;;;;
boner*;;;;;;
bony;;;;;;
boob*;;;;;;
bowel*;;;;;;
breast*;;;;;;
burp*;;;;;;
butts;;;;;;
cheek*;;;;;;
clitoris*;;;;;;
cocks*;;;;;;
cornea*;;;;;;
crotch;;;;;;
dicks;;;;;;
ears;;;;;;
elbow*;;;;;;
erection*;;;;;;
face;;;;;;
faces;;;;;;
fatten*;;;;;;
fatty;;;;;;
finger*;;;;;;
foot;;;;;;
forearm*;;;;;;
genital*;;;;;;
gums;;;;;;
guts;;;;;;
hairless*;;;;;;
hairy;;;;;;
hands;;;;;;
heads;;;;;;
hearts;;;;;;
hip;;;;;;
hornie*;;;;;;
inhal*;;;;;;
intestin*;;;;;;
jaw*;;;;;;
kidney*;;;;;;
knuckle*;;;;;;
whiskey*leg;;;;;;
whis;;;;;;
tricep*;;;;;;
twat*;;;;;;
twitches;;;;;;
twitchy;;;;;;
urin*;;;;;;
vag;;;;;;
vd;;;;;;
vein*;;;;;;
viagra;;;;;;
vicodin;;;;;;
vital*;;;;;;
vodka*;;;;;;
wash;;;;;;
washes;;;;;;
water;;;;;;
weaken;;;;;;
weakening;;;;;;
weaker;;;;;;
wearing;;;;;;
weigh;;;;;;
weighing*;;;;;;
wellness;;;;;;
wheez*;;;;;;
wine;;;;;;
womb*;;;;;;
workout*;;;;;;
yum;;;;;;
zit;;;;;;
zoloft;;;;;;
abs;;;;;;
anus*;;;;;;
arms*;;;;;;
arse;;;;;;
arter*;;;;;;
ass;;;;;;
bald;;;;;;
bellies;;;;;;
blood;;;;;;
bodi*;;;;;;
bone;;;;;;
bones;;;;;;
booty;;;;;;
brain*;;;;;;
breath*;;;;;;
butt;;;;;;
chest*;;;;;;
clothes;;;;;;
colon;;;;;;
crap;;;;;;
dick;;;;;;
drool*;;;;;;
erectile;;;;;;
eye*;;;;;;
facial*;;;;;;
fatter;;;;;;
feet;;;;;;
flesh*;;;;;;
forehead*;;;;;;
gut;;;;;;
haircut;;;;;;
hairs;;;;;;
head;;;;;;
heart;;;;;;
heel*;;;;;;
hips;;;;;;
horny;;;;;;
injur*;;;;;;
itch*;;;;;;
joints;;;;;;
knee*;;;;;;
abs;;;;;;
arthr*;;;;;;
ate;;;;;;
beard;;;;;;
dessert*;;;;;;
drool*;;;;;;
binging;;;;;;
blind*;;;;;;
bread;;;;;;
breath*;;;;;;
cafe*;;;;;;
chew*;;;;;;
cock;;;;;;
coffee*;;;;;;
contag*;;;;;;
crap;;;;;;
cum;;;;;;
faint*;;;;;;
fatter;;;;;;
gland*;;;;;;
gobble*;;;;;;
grocer*;;;;;;
hands;;;;;;
heal;;;;;;
healthiest;;;;;;
heel*;;;;;;
hungriest;;;;;;
incest*;;;;;;
itch*;;;;;;
libid*;;;;;;
liver*;;;;;;
loves;;;;;;
manicdep*;;;;;;
meat*;;;;;;
muscular;;;;;;
nudi*;;;;;;
nurse*;;;;;;
painl*;;;;;;
pediatr*;;;;;;
pepsi;;;;;;
physicals;;;;;;
piss*;;;;;;
poop*;;;;;;
prick*;;;;;;
prostat*;;;;;;
puk*;;;;;;
queas*;;;;;;
retina*;;;;;;
rx;;;;;;
salsa;;;;;;
skelet*;;;;;;
sleeping;;;;;;
slept;;;;;;
soda*;;;;;;
spit;;;;;;
sweet;;;;;;
syphili*;;;;;;
tastier;;;;;;
diabet*;;;;;;
drs;;;;;;
bipolar;;;;;;
brownies;;;;;;
cola;;;;;;
fatties;;;;;;
gums;;;;;;
hungry;;;;;;
palm;;;;;;
pie;;;;;;
prude;;;;;;
prozac;;;;;;
bj;;;;;;
brunch*;;;;;;
fattiest;;;;;;
gut;;;;;;
